Barcode,Genotype,Assay Date,Experimenter,Flow Cytometer,Total Events (RBC),NCE,RETs_CD71postive,Per_RETs,Mn-RET,Mn_NCE,Per_MN-NCE
M00752483,Ncaph/+,2011-04-13,MDC,FC500,1.52E+05,1.49E+05,3268,2.19,8,290,0.19
M00739570,Ncaph/+,2011-04-13,MDC,FC500,1.45E+05,1.42E+05,2397,1.69,12,204,0.14
M00739579,Ncaph/+,2011-04-13,MDC,FC500,1.43E+05,1.41E+05,2144,1.52,4,231,0.16
M00717221,Ncaph/+,2011-04-13,MDC,FC500,1.45E+05,1.43E+05,2453,1.72,6,216,0.15
M00685934,Sesn3/Sesn3,2011-04-13,MDC,FC500,1.36E+05,1.31E+05,4353,3.32,14,307,0.23
M00680863,Usp42/Usp42,2011-04-13,MDC,FC500,1.26E+05,1.21E+05,4456,3.68,20,273,0.23
M00761612,Vangl1/+,2011-04-13,MDC,FC500,1.45E+05,1.41E+05,3580,2.54,19,303,0.21
M00761611,Vangl1/+,2011-04-13,MDC,FC500,1.42E+05,1.38E+05,3999,2.9,16,314,0.23
M00690835,+/+,2011-04-15,MDC,FC500,1.51E+05,1.48E+05,2701,1.83,8,325,0.22
M00690836,+/+,2011-04-15,MDC,FC500,1.42E+05,1.39E+05,2273,1.64,10,286,0.21
M00690838,+/+,2011-04-15,MDC,FC500,1.38E+05,1.32E+05,5660,4.29,26,327,0.25
M00696517,2310057J18Rik/2310057J18Rik,2011-04-15,MDC,FC500,1.30E+05,1.24E+05,5202,4.2,16,251,0.2
M00696514,2310057J18Rik/2310057J18Rik,2011-04-15,MDC,FC500,1.29E+05,1.24E+05,4603,3.71,12,262,0.21
M00691332,Eif2b2/+,2011-04-15,MDC,FC500,1.41E+05,1.35E+05,4923,3.65,15,279,0.21
M00691333,Eif2b2/+,2011-04-15,MDC,FC500,1.29E+05,1.27E+05,2491,1.96,15,291,0.23
M00691346,Eif2b2/+,2011-04-15,MDC,FC500,1.21E+05,1.18E+05,2213,1.88,9,315,0.27
M00690507,Eif2b2/+,2011-04-15,MDC,FC500,1.36E+05,1.30E+05,5940,4.57,19,258,0.2
M00696694,Hdac8/Y,2011-04-15,MDC,FC500,1.32E+05,1.29E+05,3008,2.33,14,272,0.21
M00691643,Mx1/Mx1,2011-04-15,MDC,FC500,1.32E+05,1.29E+05,2664,2.07,7,249,0.19
M00691644,Mx1/Mx1,2011-04-15,MDC,FC500,1.30E+05,1.27E+05,3216,2.53,16,282,0.22
M00701269,+/+,2011-04-18,MDC,FC500,1.37E+05,1.33E+05,3930,2.95,6,292,0.22
M00693970,Anp32e/Anp32e,2011-04-18,MDC,FC500,1.34E+05,1.30E+05,3977,3.06,17,290,0.22
M00693976,Anp32e/Anp32e,2011-04-18,MDC,FC500,1.44E+05,1.42E+05,2134,1.5,16,337,0.24
M00693978,Anp32e/Anp32e,2011-04-18,MDC,FC500,1.20E+05,1.17E+05,2885,2.47,15,301,0.26
M00693977,Anp32e/Anp32e,2011-04-18,MDC,FC500,1.34E+05,1.31E+05,2479,1.89,7,358,0.27
M00693767,Sdhc/+,2011-04-18,MDC,FC500,1.30E+05,1.27E+05,2970,2.34,8,251,0.2
M00693765,Sdhc/+,2011-04-18,MDC,FC500,1.23E+05,1.20E+05,2864,2.39,9,253,0.21
M00724663,Arpc2/+,2011-07-07,RM,FC500,1.83E+05,1.48E+05,15439,10.43,219,384,0.26
M00725246,Chia/Chia,2011-07-07,RM,FC500,1.95E+05,1.67E+05,4835,2.9,133,341,0.2
M00725250,Chia/Chia,2011-07-07,RM,FC500,1.96E+05,1.74E+05,3581,2.06,74,345,0.2
M00725251,Chia/Chia,2011-07-07,RM,FC500,1.95E+05,1.61E+05,4101,2.55,97,353,0.22
M00725245,Chia/Chia,2011-07-07,RM,FC500,1.90E+05,1.64E+05,9539,5.82,149,407,0.25
M00725247,Chia/Chia,2011-07-07,RM,FC500,1.96E+05,1.59E+05,3886,2.44,122,463,0.29
M00712898,Copg/+,2011-07-07,RM,FC500,1.90E+05,1.47E+05,9250,6.29,101,363,0.25
M00712897,Copg/+,2011-07-07,RM,FC500,1.93E+05,1.30E+05,5861,4.51,250,393,0.3
M00712896,Copg/+,2011-07-07,RM,FC500,1.93E+05,1.27E+05,5987,4.71,198,397,0.31
M00721455,Copg/+,2011-07-07,RM,FC500,1.94E+05,1.45E+05,5388,3.72,157,348,0.24
M00705431,Espn/Espn,2011-07-07,RM,FC500,1.94E+05,1.36E+05,5186,3.81,139,386,0.28
M00705422,Espn/Espn,2011-07-07,RM,FC500,1.96E+05,1.48E+05,3197,2.16,146,422,0.28
M00695608,Ltbp1/Ltbp1,2011-07-07,RM,FC500,1.93E+05,1.50E+05,6572,4.38,181,389,0.26
M00715733,Maneal/Maneal,2011-07-07,RM,FC500,1.94E+05,1.69E+05,5980,3.54,150,338,0.2
M00715732,Maneal/Maneal,2011-07-07,RM,FC500,1.96E+05,1.69E+05,3435,2.03,124,405,0.24
M00715735,Maneal/Maneal,2011-07-07,RM,FC500,1.95E+05,1.68E+05,4321,2.57,143,446,0.26
M00724474,Nelf/Nelf,2011-07-07,RM,FC500,4.87E+04,3.80E+04,906,2.38,28,105,0.28
M00719715,Optn/Optn,2011-07-07,RM,FC500,1.95E+05,1.74E+05,4285,2.46,113,364,0.21
M00719714,Optn/Optn,2011-07-07,RM,FC500,1.94E+05,1.60E+05,5373,3.36,125,445,0.28
M00719713,Optn/Optn,2011-07-07,RM,FC500,1.95E+05,1.43E+05,4504,3.15,156,454,0.32
M00716919,Pabpc1l/Pabpc1l,2011-07-07,RM,FC500,1.88E+05,1.48E+05,11292,7.63,188,360,0.24
M00722791,Pabpc1l/Pabpc1l,2011-07-07,RM,FC500,1.96E+05,1.45E+05,3712,2.56,93,324,0.22
M00721985,Pik3r2/Pik3r2,2011-07-07,RM,FC500,1.96E+05,1.54E+05,3901,2.53,130,437,0.28
M00721983,Pik3r2/Pik3r2,2011-07-07,RM,FC500,1.96E+05,1.46E+05,3676,2.52,229,454,0.31
M00721975,Pik3r2/Pik3r2,2011-07-07,RM,FC500,1.95E+05,1.39E+05,4580,3.29,158,411,0.29
M00716981,Sdhc/+,2011-07-07,RM,FC500,1.95E+05,1.76E+05,4204,2.39,83,352,0.2
M00716984,Sdhc/+,2011-07-07,RM,FC500,1.95E+05,1.73E+05,4527,2.62,110,395,0.23
M00721947,Sesn3/Sesn3,2011-07-07,RM,FC500,1.96E+05,1.40E+05,3933,2.81,108,339,0.24
M00721954,Sesn3/Sesn3,2011-07-07,RM,FC500,1.90E+05,1.30E+05,9388,7.22,152,404,0.31
M00719649,Tmprss15/Tmprss15,2011-07-07,RM,FC500,1.96E+05,1.51E+05,3210,2.13,161,380,0.25
M00719648,Tmprss15/Tmprss15,2011-07-07,RM,FC500,1.93E+05,1.29E+05,5898,4.57,182,460,0.36
M00737595,Wdr47/Wdr47,2011-07-07,RM,FC500,1.94E+05,1.61E+05,5053,3.14,203,349,0.22
M00711843,2210016L21Rik/2210016L21Rik,2011-11-10,RM,FC500,1.56E+05,1.56E+05,1996,1.28,45,252,0.16
M00711842,2210016L21Rik/2210016L21Rik,2011-11-10,RM,FC500,1.58E+05,1.58E+05,1633,1.03,22,287,0.18
M00711844,2210016L21Rik/2210016L21Rik,2011-11-10,RM,FC500,1.73E+05,1.73E+05,2727,1.58,78,324,0.19
M00729433,H2-M5/H2-M5,2011-11-10,RM,FC500,1.75E+05,1.75E+05,2536,1.45,43,370,0.21
M00729434,H2-M5/H2-M5,2011-11-10,RM,FC500,1.80E+05,1.80E+05,5129,2.85,56,420,0.23
M00729432,H2-M5/H2-M5,2011-11-10,RM,FC500,1.68E+05,1.68E+05,3229,1.92,49,416,0.25
M00713568,Lrpprc/+,2011-11-10,RM,FC500,1.61E+05,1.61E+05,2349,1.46,49,277,0.17
M00713570,Lrpprc/+,2011-11-10,RM,FC500,1.53E+05,1.53E+05,1764,1.15,26,310,0.2
M00706303,Lrpprc/+,2011-11-10,RM,FC500,1.69E+05,1.69E+05,2858,1.69,35,300,0.18
M00713560,Lrpprc/+,2011-11-10,RM,FC500,1.51E+05,1.51E+05,2270,1.5,23,230,0.15
M00713561,Lrpprc/+,2011-11-10,RM,FC500,1.48E+05,1.48E+05,1850,1.25,32,279,0.19
M00702048,Ltbp1/Ltbp1,2011-11-10,RM,FC500,,1.59E+05,2067,1.3,91,269,0.17
M00732837,Ltbp1/Ltbp1,2011-11-10,RM,FC500,1.68E+05,1.66E+05,1849,1.11,60,277,0.17
M00727364,Ltbp1/Ltbp1,2011-11-10,RM,FC500,1.68E+05,1.66E+05,1639,0.99,31,243,0.15
M00703560,Melk/Melk,2011-11-10,RM,FC500,1.49E+05,1.49E+05,2107,1.41,29,335,0.22
M00703559,Melk/Melk,2011-11-10,RM,FC500,5.44E+04,5.44E+04,96851,178,2474,137,0.25
M00703558,Melk/Melk,2011-11-10,RM,FC500,1.36E+05,1.36E+05,1826,1.34,45,358,0.26
M00703576,Melk/Melk,2011-11-10,RM,FC500,1.58E+05,1.58E+05,4228,2.68,67,310,0.2
M00703577,Melk/Melk,2011-11-10,RM,FC500,1.46E+05,1.46E+05,1535,1.05,29,297,0.2
M00703580,Melk/Melk,2011-11-10,RM,FC500,1.48E+05,1.48E+05,2568,1.74,40,308,0.21
M00703575,Melk/Melk,2011-11-10,RM,FC500,1.48E+05,1.48E+05,2839,1.92,27,321,0.22
M00713865,Slc30a8/Slc30a8,2011-11-10,RM,FC500,1.70E+05,1.70E+05,3048,1.79,34,349,0.2
M00713870,Slc30a8/Slc30a8,2011-11-10,RM,FC500,1.67E+05,1.67E+05,2358,1.41,25,377,0.23
M00713869,Slc30a8/Slc30a8,2011-11-10,RM,FC500,1.68E+05,1.68E+05,2674,1.59,20,419,0.25
M00733582,Slc5a6/+,2011-11-10,RM,FC500,1.17E+05,1.17E+05,1168,1,41,234,0.2
M00728712,Slc5a6/+,2011-11-10,RM,FC500,1.26E+05,1.26E+05,1426,1.13,26,254,0.2
M00728713,Slc5a6/+,2011-11-10,RM,FC500,1.35E+05,1.35E+05,1749,1.3,32,292,0.22
M00728711,Slc5a6/+,2011-11-10,RM,FC500,1.27E+05,1.27E+05,1888,1.49,28,285,0.22
M00744403,Slc5a6/+,2011-11-10,RM,FC500,1.61E+05,1.61E+05,1922,1.19,69,296,0.18
M00744404,Slc5a6/+,2011-11-10,RM,FC500,1.67E+05,1.67E+05,2708,1.62,66,329,0.2
M00744402,Slc5a6/+,2011-11-10,RM,FC500,1.68E+05,1.68E+05,4100,2.44,92,348,0.21
M00619216,Dscc1/Dscc1,2011-11-11,RM,FC500,1.56E+05,1.53E+05,1842,1.2,51,1490,0.96
M00619218,Dscc1/Dscc1,2011-11-11,RM,FC500,1.41E+05,1.38E+05,1468,1.06,68,1511,1.08
M00940808,+/+,2012-01-16,RM,FT1,1.36E+05,1.34E+05,2958,2.21,97,316,0.24
M00943026,+/+,2012-01-16,RM,FT1,1.38E+05,1.37E+05,476,0.35,112,393,0.29
M00943027,+/+,2012-01-16,RM,FT1,1.25E+05,1.21E+05,1615,1.33,186,340,0.28
M00943038,+/+,2012-01-16,RM,FT1,1.34E+05,1.33E+05,1558,1.17,84,342,0.26
M00943039,+/+,2012-01-16,RM,FT1,1.35E+05,1.34E+05,1042,0.78,59,349,0.26
M00943417,+/+,2012-01-16,RM,FT1,1.50E+05,1.49E+05,800,0.54,65,398,0.27
M00943418,+/+,2012-01-16,RM,FT1,1.41E+05,1.40E+05,3412,2.44,122,297,0.21
M00950256,+/+,2012-01-23,RM,FT1,1.14E+05,1.13E+05,623,0.55,97,262,0.23
M00950257,+/+,2012-01-23,RM,FT1,1.15E+05,1.14E+05,516,0.45,111,313,0.27
M00950259,+/+,2012-01-23,RM,FT1,1.15E+05,1.14E+05,237,0.21,70,252,0.22
M00950260,+/+,2012-01-23,RM,FT1,9.32E+04,9.27E+04,298,0.32,35,226,0.24
M00954694,+/+,2012-01-23,RM,FT1,4.76E+04,4.62E+04,1131,2.45,94,169,0.36
M00954695,+/+,2012-01-23,RM,FT1,1.16E+05,1.15E+05,908,0.79,109,288,0.25
M00954709,+/+,2012-01-23,RM,FT1,1.13E+05,1.12E+05,809,0.72,62,323,0.29
M00954710,+/+,2012-01-23,RM,FT1,1.06E+05,1.04E+05,1306,1.26,79,264,0.25
M00952024,+/+,2012-02-01,RM,FT1,1.27E+05,1.25E+05,1486,1.19,58,319,0.25
M00954749,+/+,2012-02-01,RM,FT1,1.11E+05,1.09E+05,1025,0.94,85,273,0.25
M00956377,+/+,2012-02-01,RM,FT1,1.15E+05,1.13E+05,1860,1.65,95,314,0.28
M00956378,+/+,2012-02-01,RM,FT1,1.33E+05,1.32E+05,905,0.69,48,352,0.27
M00956505,+/+,2012-02-01,RM,FT1,1.21E+05,1.19E+05,1517,1.27,96,357,0.3
M00956506,+/+,2012-02-01,RM,FT1,1.19E+05,1.18E+05,1135,0.96,27,345,0.29
M00956507,+/+,2012-02-01,RM,FT1,1.14E+05,1.12E+05,887,0.79,88,329,0.29
M00934378,+/+,2012-02-01,RM,FT1,1.23E+05,1.21E+05,6117,5.06,101,315,0.26
M00934379,+/+,2012-02-01,RM,FT1,1.27E+05,1.26E+05,1196,0.95,96,260,0.21
M00934380,+/+,2012-02-01,RM,FT1,1.27E+05,1.26E+05,1507,1.2,131,312,0.25
M00944468,+/+,2012-02-01,RM,FT1,1.34E+05,1.32E+05,3440,2.61,64,253,0.19
M00960152,+/+,2012-02-01,RM,FT1,1.27E+05,1.23E+05,3168,2.58,87,415,0.34
M00960154,+/+,2012-02-01,RM,FT1,1.18E+05,1.14E+05,3039,2.67,101,390,0.34
M00960164,+/+,2012-02-01,RM,FT1,1.31E+05,1.30E+05,1407,1.08,60,392,0.3
M00960181,+/+,2012-02-01,RM,FT1,1.29E+05,1.28E+05,744,0.58,116,503,0.39
M00914303,Amotl1/Amotl1,2012-03-02,RM,FT1,1.47E+05,1.40E+05,6511,4.65,119,569,0.4
M00914307,Amotl1/Amotl1,2012-03-02,RM,FT1,1.56E+05,1.49E+05,6188,4.15,210,566,0.38
M00756283,Anp32e/Anp32e,2012-03-02,RM,FT1,1.58E+05,1.55E+05,2167,1.4,69,429,0.28
M00750575,Anp32e/Anp32e,2012-03-02,RM,FT1,1.62E+05,1.58E+05,3107,1.97,85,519,0.33
M00747005,BC017643/BC017643,2012-03-02,RM,FT1,1.75E+05,1.70E+05,4361,2.57,110,493,0.29
M00747006,BC017643/BC017643,2012-03-02,RM,FT1,1.71E+05,1.68E+05,3045,1.81,73,522,0.31
M00747007,BC017643/BC017643,2012-03-02,RM,FT1,1.66E+05,1.62E+05,3339,2.06,143,566,0.35
M00837205,Btbd11/Btbd11,2012-03-02,RM,FT1,1.60E+05,1.58E+05,1614,1.02,149,530,0.33
M00905115,Btbd11/Btbd11,2012-03-02,RM,FT1,1.75E+05,1.70E+05,4722,2.78,146,586,0.34
M00834113,Cdca8/+,2012-03-02,RM,FT1,1.31E+05,1.28E+05,2615,2.04,212,530,0.41
M00828832,Cdca8/+,2012-03-02,RM,FT1,1.36E+05,1.33E+05,1504,1.13,113,806,0.6
M00750692,Ears2/+,2012-03-02,RM,FT1,1.70E+05,1.66E+05,4135,2.49,107,498,0.3
M00750695,Ears2/+,2012-03-02,RM,FT1,1.74E+05,1.71E+05,2199,1.29,132,530,0.31
M00750698,Ears2/+,2012-03-02,RM,FT1,1.69E+05,1.66E+05,2108,1.27,99,516,0.31
M00840314,Grin1/+,2012-03-02,RM,FT1,1.39E+05,1.37E+05,1917,1.4,148,456,0.33
M00735375,Il22ra1/Il22ra1,2012-03-02,RM,FT1,1.61E+05,1.58E+05,2940,1.86,113,496,0.31
M00735379,Il22ra1/Il22ra1,2012-03-02,RM,FT1,1.67E+05,1.64E+05,2711,1.65,96,523,0.32
M00735380,Il22ra1/Il22ra1,2012-03-02,RM,FT1,1.63E+05,1.60E+05,2723,1.7,107,535,0.33
M00927440,Kazn/Kazn,2012-03-02,RM,FT1,1.33E+05,1.31E+05,1338,1.02,216,555,0.42
M00927443,Kazn/Kazn,2012-03-02,RM,FT1,1.63E+05,1.60E+05,2038,1.27,114,486,0.3
M00836711,Kng2/Kng2,2012-03-02,RM,FT1,1.69E+05,1.66E+05,2406,1.45,114,527,0.32
M00836706,Kng2/Kng2,2012-03-02,RM,FT1,1.14E+05,1.12E+05,2043,1.82,140,374,0.33
M00739724,Laptm5/Laptm5,2012-03-02,RM,FT1,1.30E+05,1.27E+05,2600,2.05,122,385,0.3
M00739497,Lmnb1/+,2012-03-02,RM,FT1,1.66E+05,1.62E+05,3009,1.86,144,408,0.25
M00743476,Lmnb1/+,2012-03-02,RM,FT1,1.51E+05,1.48E+05,2934,1.98,93,398,0.27
M00739496,Lmnb1/+,2012-03-02,RM,FT1,1.58E+05,1.54E+05,2783,1.81,116,419,0.27
M00753779,Lnx2/Lnx2,2012-03-02,RM,FT1,1.66E+05,1.62E+05,3289,2.03,111,395,0.24
M00753777,Lnx2/Lnx2,2012-03-02,RM,FT1,1.68E+05,1.65E+05,2146,1.3,119,435,0.26
M00753776,Lnx2/Lnx2,2012-03-02,RM,FT1,1.62E+05,1.60E+05,2226,1.39,117,439,0.27
M00735175,Lsm11/+,2012-03-02,RM,FT1,1.63E+05,1.60E+05,2344,1.47,131,715,0.44
M00735176,Lsm11/+,2012-03-02,RM,FT1,1.47E+05,1.43E+05,2390,1.67,131,699,0.49
M00731069,Lsm11/+,2012-03-02,RM,FT1,1.62E+05,1.59E+05,1624,1.02,108,767,0.48
M00731074,Lsm11/+,2012-03-02,RM,FT1,1.16E+05,1.14E+05,1711,1.5,128,379,0.33
M00735174,Lsm11/+,2012-03-02,RM,FT1,1.62E+05,1.59E+05,2759,1.74,105,656,0.41
M00753607,Map2k2/Map2k2,2012-03-02,RM,FT1,1.61E+05,1.55E+05,5448,3.51,174,535,0.34
M00742781,Mtor/+,2012-03-02,RM,FT1,1.77E+05,1.73E+05,3548,2.05,95,422,0.24
M00742782,Mtor/+,2012-03-02,RM,FT1,1.57E+05,1.53E+05,2910,1.9,127,393,0.26
M00742780,Mtor/+,2012-03-02,RM,FT1,1.52E+05,1.49E+05,3034,2.04,106,403,0.27
M00742786,Mtor/+,2012-03-02,RM,FT1,1.66E+05,1.62E+05,3268,2.02,106,394,0.24
M00746431,Nelf/Nelf,2012-03-02,RM,FT1,1.66E+05,1.60E+05,4636,2.9,116,446,0.28
M00746430,Nelf/Nelf,2012-03-02,RM,FT1,1.60E+05,1.56E+05,3371,2.16,100,441,0.28
M00754256,Pex3/Pex3,2012-03-02,RM,FT1,1.49E+05,1.45E+05,2819,1.94,94,498,0.34
M00740504,Pitpnm1/Pitpnm1,2012-03-02,RM,FT1,1.48E+05,1.44E+05,3453,2.4,162,407,0.28
M00740511,Pitpnm1/Pitpnm1,2012-03-02,RM,FT1,1.44E+05,1.40E+05,3759,2.69,117,494,0.35
M00740512,Pitpnm1/Pitpnm1,2012-03-02,RM,FT1,1.57E+05,1.53E+05,3311,2.16,124,559,0.36
M00724623,Polg2/+,2012-03-02,RM,FT1,9.95E+04,9.76E+04,1532,1.57,102,305,0.31
M00724624,Polg2/+,2012-03-02,RM,FT1,1.24E+05,1.22E+05,1650,1.35,173,390,0.32
M00725759,Polg2/+,2012-03-02,RM,FT1,1.57E+05,1.54E+05,3079,2,159,423,0.27
M00836027,Prmt2/Prmt2,2012-03-02,RM,FT1,1.56E+05,1.52E+05,4307,2.83,118,453,0.3
M00905968,Rhot2/Rhot2,2012-03-02,RM,FT1,1.68E+05,1.64E+05,2852,1.74,84,513,0.31
M00750220,Ripply3/Ripply3,2012-03-02,RM,FT1,1.74E+05,1.70E+05,2725,1.6,80,544,0.32
M00750222,Ripply3/Ripply3,2012-03-02,RM,FT1,1.80E+05,1.77E+05,2375,1.34,102,596,0.34
M00841729,Rqcd1/+,2012-03-02,RM,FT1,1.52E+05,1.50E+05,1564,1.04,91,378,0.25
M00902116,Setd1a/+,2012-03-02,RM,FT1,1.60E+05,1.56E+05,2986,1.91,45,792,0.51
M00745560,Srsf4/Srsf4,2012-03-02,RM,FT1,1.24E+05,1.24E+05,88,0.07,147,425,0.34
M00306995,Stard5/Stard5,2012-03-02,RM,FT1,1.23E+05,1.21E+05,1759,1.45,172,359,0.3
M00306994,Stard5/Stard5,2012-03-02,RM,FT1,1.54E+05,1.51E+05,2865,1.9,244,312,0.21
M00306996,Stard5/Stard5,2012-03-02,RM,FT1,1.40E+05,1.37E+05,2130,1.55,170,323,0.24
M00928444,Stk39/Stk39,2012-03-02,RM,FT1,1.41E+05,1.40E+05,589,0.42,97,445,0.32
M00922077,Stk39/Stk39,2012-03-02,RM,FT1,1.59E+05,1.56E+05,2163,1.39,120,479,0.31
M00742050,Tmc6/Tmc6,2012-03-02,RM,FT1,1.56E+05,1.52E+05,2996,1.97,70,496,0.33
M00742053,Tmc6/Tmc6,2012-03-02,RM,FT1,1.57E+05,1.51E+05,4847,3.21,101,503,0.33
M00742051,Tmc6/Tmc6,2012-03-02,RM,FT1,1.60E+05,1.53E+05,5888,3.85,99,524,0.34
M00742052,Tmc6/Tmc6,2012-03-02,RM,FT1,1.47E+05,1.42E+05,4157,2.93,71,500,0.35
M00742047,Tmc6/Tmc6,2012-03-02,RM,FT1,1.46E+05,1.41E+05,3931,2.79,75,429,0.3
M00742732,Trim66/Trim66,2012-03-02,RM,FT1,1.64E+05,1.59E+05,4071,2.56,131,439,0.28
M00906087,Zp1/Zp1,2012-03-02,RM,FT1,1.58E+05,1.53E+05,4562,2.98,129,539,0.35
M00906089,Zp1/Zp1,2012-03-02,RM,FT1,1.69E+05,1.66E+05,2927,1.76,104,588,0.35
M00906086,Zp1/Zp1,2012-03-02,RM,FT1,1.07E+05,1.05E+05,1216,1.16,55,385,0.37
M00906097,Zp1/Zp1,2012-03-02,RM,FT1,1.62E+05,1.59E+05,1731,1.09,110,624,0.39
M00979211,+/+,2012-03-06,JT,FT1,1.14E+05,1.13E+05,241,0.21,15,381,0.34
M00979214,+/+,2012-03-06,JT,FT1,1.03E+05,1.02E+05,202,0.2,14,320,0.31
M00979215,+/+,2012-03-06,JT,FT1,1.15E+05,1.15E+05,250,0.22,26,345,0.3
M00985749,+/+,2012-03-06,JT,FT1,1.18E+05,1.16E+05,490,0.42,51,885,0.76
M00986296,+/+,2012-03-06,JT,FT1,1.32E+05,1.30E+05,906,0.7,29,411,0.32
M00882326,Aldh2/Aldh2,2012-03-06,RM,FT1,1.59E+05,1.55E+05,2774,1.79,155,696,0.45
M00882332,Aldh2/Aldh2,2012-03-06,RM,FT1,1.75E+05,1.70E+05,3958,2.33,118,904,0.53
M00882331,Aldh2/Aldh2,2012-03-06,RM,FT1,1.55E+05,1.50E+05,3525,2.35,128,1014,0.67
M00746392,Bdh2/Bdh2,2012-03-06,RM,FT1,1.74E+05,1.70E+05,3303,1.94,82,379,0.22
M00746391,Bdh2/Bdh2,2012-03-06,RM,FT1,1.78E+05,1.75E+05,2745,1.57,101,417,0.24
M00746394,Bdh2/Bdh2,2012-03-06,RM,FT1,1.70E+05,1.67E+05,2976,1.78,132,414,0.25
M00892493,Btbd11/Btbd11,2012-03-06,RM,FT1,1.80E+05,1.75E+05,4203,2.4,783,562,0.32
M00699267,Cbx6/Cbx6,2012-03-06,RM,FT1,1.68E+05,1.64E+05,2892,1.76,173,512,0.31
M00849108,Cc2d2a/+,2012-03-06,RM,FT1,1.72E+05,1.68E+05,3279,1.95,130,446,0.26
M00849104,Cc2d2a/+,2012-03-06,RM,FT1,1.68E+05,1.66E+05,1833,1.1,122,467,0.28
M00849107,Cc2d2a/+,2012-03-06,RM,FT1,1.72E+05,1.69E+05,2171,1.28,174,531,0.31
M00849106,Cc2d2a/+,2012-03-06,RM,FT1,1.75E+05,1.72E+05,2430,1.41,141,544,0.32
M00892229,Cc2d2a/+,2012-03-06,RM,FT1,1.86E+05,1.82E+05,3249,1.79,121,485,0.27
M00892228,Cc2d2a/+,2012-03-06,RM,FT1,1.68E+05,1.64E+05,3309,2.02,154,448,0.27
M00892224,Cc2d2a/+,2012-03-06,RM,FT1,1.82E+05,1.78E+05,3340,1.88,116,485,0.27
M00893390,Ccdc106/Ccdc106,2012-03-06,RM,FT1,1.57E+05,1.41E+05,14346,10.17,927,393,0.28
M00893394,Ccdc106/Ccdc106,2012-03-06,RM,FT1,1.72E+05,1.69E+05,2579,1.53,137,484,0.29
M00887949,Ccdc106/Ccdc106,2012-03-06,RM,FT1,1.59E+05,1.56E+05,1998,1.28,96,386,0.25
M00887947,Ccdc106/Ccdc106,2012-03-06,RM,FT1,1.71E+05,1.68E+05,3106,1.85,85,493,0.29
M00887950,Ccdc106/Ccdc106,2012-03-06,RM,FT1,1.63E+05,1.60E+05,2784,1.74,126,487,0.3
M00839281,Cdk5rap2/Cdk5rap2,2012-03-06,RM,FT1,1.81E+05,1.78E+05,3152,1.77,124,588,0.33
M00844422,Cdkn2a/Cdkn2a,2012-03-06,RM,FT1,1.84E+05,1.77E+05,6850,3.87,166,348,0.2
M00844425,Cdkn2a/Cdkn2a,2012-03-06,RM,FT1,1.78E+05,1.73E+05,4039,2.33,184,358,0.21
M00844424,Cdkn2a/Cdkn2a,2012-03-06,RM,FT1,1.63E+05,1.59E+05,3315,2.08,146,447,0.28
M00842875,Donson/+,2012-03-06,RM,FT1,1.33E+05,1.31E+05,2209,1.69,236,341,0.26
M00842293,Egfr/+,2012-03-06,RM,FT1,1.49E+05,1.46E+05,2384,1.63,142,393,0.27
M00842298,Egfr/+,2012-03-06,RM,FT1,1.65E+05,1.60E+05,3881,2.43,177,374,0.23
M00829950,Elk4/Elk4,2012-03-06,RM,FT1,1.72E+05,1.66E+05,4611,2.78,131,514,0.31
M00829965,Elk4/Elk4,2012-03-06,RM,FT1,1.79E+05,1.74E+05,4766,2.74,227,545,0.31
M00829964,Elk4/Elk4,2012-03-06,RM,FT1,1.82E+05,1.79E+05,2480,1.39,102,625,0.35
M00895239,Esco2/+,2012-03-06,RM,FT1,1.72E+05,1.69E+05,2538,1.5,172,456,0.27
M00895238,Esco2/+,2012-03-06,RM,FT1,1.83E+05,1.78E+05,4392,2.47,176,593,0.33
M00835798,Grb2/+,2012-03-06,RM,FT1,1.51E+05,1.46E+05,4315,2.96,225,424,0.29
M00835792,Grb2/+,2012-03-06,RM,FT1,1.44E+05,1.39E+05,3707,2.67,160,451,0.32
M00891396,Grb2/+,2012-03-06,RM,FT1,1.75E+05,1.69E+05,5446,3.22,188,464,0.27
M00891395,Grb2/+,2012-03-06,RM,FT1,1.63E+05,1.59E+05,3419,2.15,174,442,0.28
M00849684,Ido1/Ido1,2012-03-06,RM,FT1,1.71E+05,1.68E+05,3063,1.82,122,386,0.23
M00849685,Ido1/Ido1,2012-03-06,RM,FT1,1.79E+05,1.76E+05,2535,1.44,127,409,0.23
M00849724,Ido1/Ido1,2012-03-06,RM,FT1,1.79E+05,1.75E+05,2963,1.69,196,421,0.24
M00849683,Ido1/Ido1,2012-03-06,RM,FT1,1.56E+05,1.48E+05,6906,4.67,744,376,0.25
M00844364,Ido1/Ido1,2012-03-06,RM,FT1,1.57E+05,1.51E+05,5359,3.55,551,423,0.28
M00751392,Laptm5/Laptm5,2012-03-06,RM,FT1,1.75E+05,1.72E+05,2685,1.56,124,430,0.25
M00751393,Laptm5/Laptm5,2012-03-06,RM,FT1,1.76E+05,1.67E+05,8150,4.88,156,455,0.27
M00833325,Mgst3(b)/Mgst3(b),2012-03-06,RM,FT1,1.81E+05,1.77E+05,3190,1.8,90,635,0.36
M00833326,Mgst3(b)/Mgst3(b),2012-03-06,RM,FT1,1.77E+05,1.73E+05,3764,2.18,111,621,0.36
