Barcode,Genotype,Assay Date,Experimenter,Flow Cytometer,Total Events (RBC),NCE,RETs_CD71postive,Per_RETs,Mn-RET,Mn_NCE,Per_MN-NCE
M00275956,Myo5a/Myo5a,2009-10-02,DR,FC500,1.72E+05,1.66E+05,6101,3.68,51,415,0.25
M00275965,Myo5a/Myo5a,2009-10-02,DR,FC500,1.68E+05,1.63E+05,4248,2.61,23,395,0.24
M00275964,Myo5a/Myo5a,2009-10-02,DR,FC500,1.55E+05,1.52E+05,2468,1.63,27,411,0.27
M00249571,Nsun2/Nsun2,2009-10-02,DR,FC500,1.74E+05,1.72E+05,2032,1.18,25,451,0.26
M00258035,Nsun2/Nsun2,2009-10-02,DR,FC500,1.71E+05,1.66E+05,3879,2.33,53,482,0.29
M00271616,Pfkl/+,2009-10-02,DR,FC500,1.67E+05,1.64E+05,2474,1.51,19,353,0.21
M00271612,Pfkl/+,2009-10-02,DR,FC500,1.60E+05,1.55E+05,4083,2.63,43,352,0.23
M00271618,Pfkl/+,2009-10-02,DR,FC500,1.69E+05,1.65E+05,3332,2.02,26,419,0.25
M00270486,Rnaseh2b/+,2009-10-02,DR,FC500,1.69E+05,1.66E+05,2907,1.75,30,365,0.22
M00270490,Rnaseh2b/+,2009-10-02,DR,FC500,1.72E+05,1.61E+05,11037,6.86,58,364,0.23
M00270489,Rnaseh2b/+,2009-10-02,DR,FC500,1.61E+05,1.58E+05,2158,1.37,26,376,0.24
M00270487,Rnaseh2b/+,2009-10-02,DR,FC500,1.71E+05,1.56E+05,14741,9.46,72,389,0.25
M00272326,Sympk/+,2009-10-02,DR,FC500,1.75E+05,1.70E+05,4549,2.67,34,351,0.21
M00272325,Sympk/+,2009-10-02,DR,FC500,1.74E+05,1.64E+05,9860,6.01,43,369,0.22
M00272346,Sympk/+,2009-10-02,DR,FC500,1.76E+05,1.71E+05,4810,2.81,28,381,0.22
M00272347,Sympk/+,2009-10-02,DR,FC500,1.68E+05,1.61E+05,6121,3.8,28,377,0.23
M00273879,Trrap/+,2009-10-02,DR,FC500,1.68E+05,1.65E+05,2993,1.82,25,330,0.2
M00273877,Trrap/+,2009-10-02,DR,FC500,1.72E+05,1.68E+05,3309,1.97,21,395,0.23
M00273866,Trrap/+,2009-10-02,DR,FC500,1.72E+05,1.69E+05,2613,1.55,24,350,0.21
M00273867,Trrap/+,2009-10-02,DR,FC500,1.72E+05,1.68E+05,4040,2.41,31,377,0.22
M00266596,+/+,2009-11-05,RV,FC500,1.44E+05,1.42E+05,2386,1.69,40,289,0.2
M00266597,+/+,2009-11-05,RV,FC500,1.66E+05,1.63E+05,2685,1.64,33,292,0.18
M00266599,+/+,2009-11-05,RV,FC500,1.53E+05,1.49E+05,3373,2.27,28,320,0.21
M00169703,Agpat3/+,2009-11-05,RM,FC500,1.69E+05,1.66E+05,2476,1.49,30,365,0.22
M00169704,Agpat3/+,2009-11-05,RM,FC500,1.63E+05,1.61E+05,1944,1.21,41,385,0.24
M00177886,Agpat3/+,2009-11-05,RM,FC500,1.67E+05,1.62E+05,4980,3.08,32,351,0.22
M00177895,Agpat3/+,2009-11-05,RM,FC500,1.65E+05,1.61E+05,2775,1.72,25,373,0.23
M00303717,Agpat3/+,2009-11-05,RM,FC500,1.64E+05,1.61E+05,2928,1.82,30,367,0.23
M00303719,Agpat3/+,2009-11-05,RM,FC500,1.45E+05,1.42E+05,2786,1.97,39,396,0.28
M00303718,Agpat3/+,2009-11-05,RM,FC500,1.67E+05,1.63E+05,3054,1.87,58,583,0.36
M00273751,Fam104a/Fam104a,2009-11-05,RM,FC500,1.66E+05,1.60E+05,5268,3.29,36,460,0.29
M00273743,Fam104a/Fam104a,2009-11-05,RM,FC500,1.48E+05,1.42E+05,5341,3.76,82,379,0.27
M00283948,Hmx3/Hmx,2009-11-05,RM,FC500,1.43E+05,1.40E+05,3145,2.25,16,113,0.08
M00283955,Hmx3/Hmx,2009-11-05,RM,FC500,1.62E+05,1.59E+05,2484,1.56,15,207,0.13
M00283957,Hmx3/Hmx,2009-11-05,RM,FC500,1.61E+05,1.58E+05,2522,1.59,25,222,0.14
M00283954,Hmx3/Hmx,2009-11-05,RM,FC500,1.35E+05,1.32E+05,3479,2.64,11,258,0.2
M00176476,Necab2/Necab2,2009-11-05,RM,FC500,1.65E+05,1.57E+05,6827,4.34,49,354,0.22
M00176479,Necab2/Necab2,2009-11-05,RM,FC500,1.53E+05,1.49E+05,3399,2.28,19,342,0.23
M00202724,Necab2/Necab2,2009-11-05,RM,FC500,1.70E+05,1.64E+05,5227,3.19,40,403,0.25
M00202725,Necab2/Necab2,2009-11-05,RM,FC500,1.71E+05,1.67E+05,3515,2.11,30,426,0.25
M00290221,Snf8/+,2009-11-05,RM,FC500,1.73E+05,1.68E+05,4309,2.56,17,353,0.21
M00290228,Snf8/+,2009-11-05,RM,FC500,1.68E+05,1.62E+05,5869,3.63,31,386,0.24
M00295567,Snf8/+,2009-11-05,RM,FC500,1.66E+05,1.60E+05,5380,3.36,30,328,0.2
M00295568,Snf8/+,2009-11-05,RM,FC500,1.71E+05,1.65E+05,5109,3.09,25,364,0.22
M00295566,Snf8/+,2009-11-05,RM,FC500,1.72E+05,1.65E+05,6717,4.08,54,387,0.23
M00226964,Sparc/Sparc,2009-11-05,RM,FC500,1.65E+05,1.61E+05,3376,2.09,42,305,0.19
